"fig_id","description"
"fig-008843","Policeman, Black Suit with Tie and Badge, White Hat, Yellow Life Vest, Moustache"
"fig-008844","Policeman, Black Vest with Badge and Pockets, White Cap, Blue Sunglasses"
"fig-008845","Man, Brown Jacket, Light Gray Legs, Black Hair, Yellow Life Vest, Blue Sunglasses"
"fig-008846","Policeman, Black Jacket with Zipper and Badge, White Hat, Yellow Life Vest"
"fig-008847","Man, Blue Overalls, White Cap"
"fig-008848","Woman, Red Halter Top, Red Legs, Black Ponytail Hair"
"fig-008849","Man, White Torso, Red Legs, Red Cap (3626b Head)"
"fig-008850","Man, Brown Jacket, Dark Gray Legs, White Cap"
"fig-008851","Chef, Red Neckerchief, White Legs (3626b Head)"
"fig-008852","Woman, White Shirt with Gold Necklace, Red Legs, Red Hair (3626b Head)"
"fig-008853","Man, Blue Jacket with Tie and Three Buttons, Light Gray Legs, Light Gray Cowboy Hat (3626b Head)"
"fig-008854","Waiter, Man, Black Suit and Bow Tie, Black Hair (3626b Head)"
"fig-008855","Chef, Red Neckerchief, White Legs (3626a Head)"
"fig-008856","Man, Black Jacket over Red Shirt, Black Legs, Black Hair (3626a Head)"
"fig-008857","Waiter, Man, Black Suit and Bow Tie, Black Hair (3626a Head)"
"fig-008858","Woman, White Shirt with Gold Necklace, Red Legs, Red Hair (3626a Head)"
"fig-008859","Man, Blue Jacket with Tie and Three Buttons, Light Gray Legs, Light Gray Cowboy Hat (3626a Head)"
"fig-008860","Woman, Red Jacket with Zipper and Pockets, Red Legs, Black Hair"
"fig-008861","Policeman, Bright Light Blue Shirt with Dark Blue Tie, Badge, and Radio on Belt, Blue Legs, Blue Hat"
"fig-008862","Criminal, Prison Shirt with #86753, Light Bluish Gray Legs, Black Helmet with Visor, Eyemask"
"fig-008863","Criminal, Torn Prison Shirt, Black Legs, Black Hat, Dark Tan Backpack, Stubble and Scar"
"fig-008864","Policeman, Medium Blue Shirt with Badge and Tie, Blue Legs, Blue Hat, Brown Eyebrows"
"fig-008865","Policeman, Medium Blue Shirt with Badge and Tie, Blue Legs, Blue Hat, Scowl"
"fig-008866","Man, Red and White Striped Shirt, Blue Legs, Brown Hair"
"fig-008867","Woman, White Jacket with Zipper, Green Legs, Black Hair"
"fig-008868","Man, White Jacket with Zipper, Green Legs, Black Hair"
"fig-008869","Woman, White Jacket with Zipper, White Legs, Black Hair"
"fig-008870","Woman, White Jacket with Zipper, White Legs, Brown Hair"
"fig-008871","Woman, White Jacket with Zipper, White Legs, Red Hair"
"fig-008872","Woman, White Top with Red Necklace, Red Legs, Black Hair (3626b Head)"
"fig-008873","Man, Plain Blue, Black Hair"
"fig-008874","Woman, Red Torso, Red Legs, Brown Hair (3626b Head)"
"fig-008875","Woman, Plain White, Brown Hair"
"fig-008876","Man, Plain White, Brown Hair"
"fig-008877","Woman, Plain White, Red Hair"
"fig-008878","Man, White Jacket with Zipper, Green Legs, Brown Hair"
"fig-008879","Man, Floating Classic Spaceman on Shirt, Dark Bluish Gray Legs, Light Bluish Gray Helmet"
"fig-008880","Man, Green Overalls over Red Shirt, Red Cap, Brown Eyebrows, Reddish Brown Eyebrows"
"fig-008881","Man, Blue Torso, White Legs, Dark Brown Hair"
"fig-008882","Postal Worker, Woman, Red Jacket with Zipper and Letter Logo, Red Legs, Reddish Brown Hair"
"fig-008883","Woman, White Vest with Stars, Orange Legs, Black Hair"
"fig-008884","Man, Medium Blue Shirt with Palm Trees and Sunset, Red Legs, Lime Cap"
"fig-008885","Man, Blue Jacket with Highway Logo, Black Legs, Red Hard Hat"
"fig-008886","Man, Blue Jacket with Highway Logo, Light Gray Legs, Black Hat"
"fig-008887","Woman, Red and White Striped Shirt, Blue Legs, Red Hair"
"fig-008888","Woman, Red and White Striped Shirt, Red Legs, Black Hair"
"fig-008889","Woman, Red Jacket with Zipper and Pockets, Black Legs, Black Hair"
"fig-008890","Man, Red Jacket with Zipper and Pockets, White Legs, Blue Cap"
"fig-008891","Man, White Jacket with Zipper, Blue Legs, Blue Helmet"
"fig-008892","Man, White Jacket with Zipper, White Legs, Blue Helmet"
"fig-008893","Woman, Blue Overalls, Red Hair"
"fig-008894","Postal Worker, Red Shirt with Horn Logo, Red Legs, Black Hat"
"fig-008895","Woman, Black Vest over Blue Top, Red Legs, Red Hair"
"fig-008896","Woman, Black Vest over Blue Top, White Legs, Brown Hair"
"fig-008897","Man, Black Jacket over Red Shirt, Light Gray Legs, Red Hard Hat"
"fig-008898","Man, Blue Jacket with Tie and Three Buttons, Light Gray Legs, Brown Hair"
"fig-008899","Man, Blue Jacket with Tie and Three Buttons, White Legs, White Hat"
"fig-008900","Woman, White Top with Large Red Stripe and 2 Blue Stripes, Blue Legs, Black Hair"
"fig-008901","Woman, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Brown Hair"
"fig-008903","Andrea - Tan Jacket, Tan Skirt, Dark Brown Hair"
"fig-008904","Stephanie - Olive Green Jacket, Olive Green Skirt, Bright Light Yellow Hair"
"fig-008905","Olivia - Dark Pink Top, Sand Green Skirt, Reddish Brown Hair"
"fig-008907","Mia - Dark Purple Top, Olive Green Skirt, Tan Helmet"
"fig-008908","Emma - Tan Overall, Black Hair"
"fig-008909","Harry Potter, Long Gryffindor Robe with Scarf"
"fig-008910","Claire Dearing in White Outfit with Open Shirt"
"fig-008911","Gray Mitchell with Short Legs"
"fig-008912","Zach Mitchell (20597 Hair)"
"fig-008913","Park Worker, Reddish Brown Jacket, Tan Legs, Cap"
"fig-008914","ACU Trooper, Dark Blue Shirt with Straps, Dark Blue Cap"
"fig-008915","Stone-Eye"
"fig-008917","Dr. Henry Wu, Scared"
"fig-008918","Owen Grady with Strap with Canisters, Dark Blue Legs"
"fig-008919","Hulk (Big Fig), Black Hair, Magenta Pants"
"fig-008920","Black Widow, Black Jumpsuit, Silver Highlights"
"fig-008921","Spider-Ham"
"fig-008922","Iron Spider with Neck Bracket and One-Piece Mechanical Arms"
"fig-008923","Beast, Blue Jacket, Medium Blue Legs, Dark Purple Cape"
"fig-008924","Belle, Bright Light Orange and Bright Light Yellow Full Dress with Roses, Closed Mouth"
"fig-008926","Dobby, Tan Vest, Open Mouth"
"fig-008927","Harry Potter, Open Dark Red Shirt, Short Black Legs"
"fig-008928","Dudley Dursley"
"fig-008929","Vernon Dursley"
"fig-008930","Petunia Dursley"
"fig-008931","Harry Potter, Open Gryffindor Sweater with Tie"
"fig-008933","Luna Lovegood, Ravenclaw Sweater"
"fig-008935","Hermione Granger, Gryffindor Sweater with Buttons"
"fig-008936","Harry Potter, Open Light Bluish Gray Jacket over Dark Red Shirt, Dark Blue Legs"
"fig-008937","Ron Weasley, Dark Red Sweater over Red Shirt, Black Legs"
"fig-008938","Fenrir Greyback, Black Undershirt"
"fig-008939","Molly Weasley with Skirt"
"fig-008940","Ginny Weasley, Sand Green Top"
"fig-008941","Bellatrix Lestrange, Black Dress, Plain Skirt"
"fig-008942","Nymphadora Tonks, Dark Brown Hair"
"fig-008943","Arthur Weasley, Patchwork Cardigan"
"fig-008944","Hermione Granger, Light Bluish Gray Sweater with Stripes, Black Legs"
"fig-008945","Centaur"
"fig-008946","Harry Potter, Gryffindor Sweater, Black Legs"
"fig-008948","Draco Malfoy, Slytherin Sweater, Black Legs"
"fig-008949","Cho Chang, Ravenclaw Sweater"
"fig-008950","Hannah Abbott"
"fig-008951","Harry Potter, Long Robes with Pleats over Dark Red Shirt and Tie"
"fig-008952","Hermione Granger, Bright Pink Dress"
"fig-008953","Draco Malfoy, Open Long Robes over Slytherin Sweater"
"fig-008954","Ron Weasley, Dark Turquoise Shirt"
"fig-008955","Horace Slughorn, Reddish Brown Vest with Swirls"
"fig-008957","Luna Lovegood, Lavender Dress"
"fig-008959","Neville Longbottom, White Robes"
"fig-008960","Lavender Brown"
"fig-008961","Andrea - Dark Turquoise Top, Magenta Skirt, Dark Brown Hair, Glasses"
"fig-008962","Emma - Dark Blue Top, Light Aqua Skirt, Glasses"
"fig-008963","Ethan - White Shirt, Dark Turquoise Trousers, Reddish Brown Hair"
"fig-008965","Mia - Dark Purple Top, Olive Green Skirt"
"fig-008966","Olivia - Lavender Top, Dark Azure Skirt"
"fig-008967","Stephanie - Sand Green Top, Bright Pink Skirt"
"fig-008968","Emma - Blue Top, Light Aqua Trousers"
"fig-008969","Mason - Bare Chest, Dark Turquoise Trousers"
"fig-008970","Stephanie - Medium Azure Top, Medium Azure Skirt"
"fig-008971","Olivia - Bright Light Yellow Jacket, Dark Azure Skirt, Glasses"
"fig-008972","Ashley - White Shirt, Dark Blue Trousers, Dark Blue Hat"
"fig-008973","Andrea - Dark Purple/Azure Top, White Skirt"
"fig-008974","Mia - Lime Top, Dark Purple Skirt"
"fig-008975","Andrea - Black/Gold Top, Magenta Skirt"
"fig-008976","Emma - Coral Top, Light Aqua Skirt"
"fig-008977","Stephanie - Magenta Top, White Apron"
"fig-008979","Olivia - Medium Blue Jacket, Bright Light Yellow Skirt"
"fig-008980","Alicia - Medium Azure Top, Medium Azure Trousers"
"fig-008981","Stephanie - Medium Azure Jacket, Dark Blue Skirt"
"fig-008982","James - Dark Orange Jacket, Dark Blue Trousers"
"fig-008983","Man, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Brown Hair (3626a Head)"
"fig-008984","Man, Black Jacket with Zipper, White Helmet"
"fig-008985","Pilot, Black Suit with Tie and Airplane Badge, White Hat"
"fig-008986","Man, Red and White Striped Shirt, Blue Legs, Black Hair"
"fig-008987","Woman, White Shirt with Gold Necklace, White Legs, Red Hair"
"fig-008988","Woman, Red and White Striped Shirt, White Legs, Black Hair (3626a Head)"
"fig-008989","Man, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Black Hair"
"fig-008990","Man, Blue Overalls, Black Hard Hat"
"fig-008991","Man, Red Riding Jacket, Light Gray Legs, Black Hard Hat (3626a head)"
"fig-008992","Woman, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Black Pigtails Hair"
"fig-008993","Man, Red Jacket with Zipper and Pockets, Black Legs, Black Hair"
"fig-008994","Man, Red and White Striped Shirt, Black Legs, Black Hair"
"fig-008995","Woman, Blue and White Stripe Shirt, Blue Legs, Red Hair"
"fig-008996","Woman, Black Vest over Red Top, Red Legs, Black Hair"
"fig-008997","Man, Black Jacket over Red Shirt, Blue Legs, Brown Hair"
"fig-008998","Red and White Striped Shirt, Red Legs, Black Hair (3626a Head)"
"fig-008999","Woman, Red and White Striped Shirt, Red Legs, Brown Hair (3626a Head)"
"fig-009000","Man, Black Jacket over Red Shirt, Light Gray Legs, White Cap"
"fig-009001","Kaya"
"fig-009002","Man, Black Torso, Blue Legs, Red Hat"
"fig-009003","Man, Red Jacket with Zipper and Pockets, Red Legs, Red Helmet with Visor"
"fig-009004","Man, Plain Black, Red Cap, Sunglasses"
"fig-009005","Man, White Jacket with Zipper, Blue Legs, White Helmet with Visor"
"fig-009006","Man, White Shirt with Airplane, White Legs, Red Cap"
"fig-009007","Woman, Orange Shirt with Green Vest with Wrench, Brown Hair, Yellow Life Vest"
"fig-009008","Man, Green Jacket, Black Legs, Green Cap, Sunglasses"
"fig-009009","Man, Red Jacket with Stars, Blue Legs, Blue Helmet with Stars and Visor, Sunglasses"
"fig-009010","Ground Crew, Blue Jumpsuit with Plane and ID Badge, Blue Cap"
"fig-009011","Pilot, Black Suit with Tie and Airplane Badge, Black Hat (3626b Head)"
"fig-009012","Man, Open Blue Jacket with Zipper, Black Legs, Black Hair, Sunglasses"
"fig-009013","Man, Green Jacket, Blue Legs, Blue Cap, Sunglasses"
"fig-009014","Man, Black Torso, Blue Legs, White Cap, Sunglasses"
"fig-009015","Ground Crew, Blue Jumpsuit with Plane and ID Badge, Black Hair"
"fig-009016","Man, Open Black Jacket over Red Shirt, Black Legs, Black Hair"
"fig-009017","Woman, Blue and Red Jogging Suit, Black Hair"
"fig-009018","Man, Blue and White Striped Tank Top, Red Cap, Moustache"
"fig-009019","Man, Brown Jacket, Blue Legs, White Helmet with Visor, Blue Sunglasses"
"fig-009020","Ground Crew, Blue Jumpsuit with Plane and ID Badge, Red Hard Hat"
"fig-009021","Ground Crew, Blue Jumpsuit with Plane and ID Badge, Red Cap"
"fig-009022","Airline Worker, Woman, Blue Jacket with Plane Logo and White Scarf, White Legs, Black Hair, Pink Lips"
"fig-009023","Man, Blue and White Striped Tank Top, Light Gray Legs, Red Cap, Moustache"
"fig-009024","Man, White Shirt with Airplane, Red Legs, Red Cap"
"fig-009025","Man, White Shirt with Airplane, Black Legs, Black Helmet"
"fig-009026","Man, White and Red Striped Shirt, White Legs, Black Hair"
"fig-009027","Woman, White Top with Red Necklace, Blue Legs, Red Hair"
"fig-009028","Woman, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Red Hair"
"fig-009029","Man, White Vest with Truck, White Legs, Red Cap"
"fig-009030","Chef, Black Jacket over Red Shirt, Light Gray Legs"
"fig-009031","Woman, Red Riding Jacket, Black Legs, Black Hair"
"fig-009032","Woman, White Shirt with Airplane, Red Legs, Black Hair"
"fig-009033","Man, White Shirt with Airplane, White Legs, Black Hair"
"fig-009034","Man, Blue Jacket with Zipper, Blue Legs, Red Helmet"
"fig-009035","Man, Blue Jacket with Tie and Three Buttons, Black Legs, Black Hair (3626a Head)"
"fig-009037","Man, Black Vest over Blue Shirt, Light Gray Legs, Black Hair"
"fig-009038","Racer, White Jacket with Zipper, White Legs, Red Helmet with Visor"
"fig-009039","Man, White Jacket with Zipper, Blue Legs, Blue Helmet with Visor"
"fig-009040","Man, Plain Red, Red Cap"
"fig-009041","Pilot, Brown Jacket, Red Legs, Red Helmet with Stars and Visor, Blue Sunglasses"
"fig-009042","Pilot, Green Jacket, Black Legs, Blue Helmet with Stars and Visor, Blue Sunglasses"
"fig-009043","Woman, Blue and Light Gray Jogging Suit, Black Hair"
"fig-009044","Man, Blue Torso, Red Legs, Red Cap (3626b Head)"
"fig-009045","Man, Blue Jacket with Tie and Three Buttons, Black Legs, Black Hair (3626b Head)"
"fig-009046","Woman, Red Halter Top, Blue Legs, Black Hair"
"fig-009047","Man, Black Torso, White Legs, Black Helmet with Visor, Sunglasses"
"fig-009048","Pilot, Red Jacket with Stars, Red Legs, Red Helmet with Stars and Visor, Sunglasses"
"fig-009049","Man, Blue Jumpsuit with Octan Logo, White Cap"
"fig-009050","Pilot, Light Gray Jumpsuit with Gauges and Straps, White Helmet with Visor, Headset"
"fig-009051","Man, Black Torso with Yellow Arms, Light Gray Legs, Red Cap, Sunglasses"
"fig-009052","Man, Green Jacket, Light Gray Legs, Black Hair, Sunglasses"
"fig-009053","Fireman, Light Gray Fire Suit with Zipper, Gauge, and Belt, White Helmet with Visor, Breathing Apparatus, Airtanks"
"fig-009054","Policewoman, Black Jacket with Zipper and Badge, White Helmet with 'POLICE' and Visor"
"fig-009055","Chef, Red Neckerchief, Red Legs, Dark Orange Hair"
"fig-009056","Woman, Medium Blue Polo Shirt with Necklace, Light Bluish Gray Legs, Dark Brown Hair"
"fig-009057","Harl Hubbs, Dark Blue Overalls, Utility Belt"
"fig-009059","Jay / Hero Jay"
"fig-009062","Lloyd / Hero Lloyd"
"fig-009064","Nya / Hero Nya"
"fig-009065","Murt"
"fig-009067","Cole / Hero Cole"
"fig-009068","Kai / Hero Kai"
"fig-009069","Moe"
"fig-009070","Awakened Warrior"
"fig-009071","Zane / Hero Zane"
"fig-009072","Ginkle"
"fig-009073","Gleck"
"fig-009075","Master Wu / Hero Wu"
"fig-009076","Princess Vania"
"fig-009077","Skull Sorcerer"
"fig-009078","Statue - Lilly Light Bluish Gray Hair in Bun"
"fig-009079","Kai with Shoulder Cover (Legacy)"
"fig-009081","Jay with Pearl Gold Shoulder Cover (Legacy)"
"fig-009083","Zane with Shoulder Cover (Legacy)"
"fig-009085","Cole with Shoulder Cover (Legacy)"
"fig-009086","Lloyd Garmadon with Green Eyes"
"fig-009088","Samurai X / Nya (Legacy)"
"fig-009089","Swoop"
"fig-009090","Nindroid with Dual Sided Head, Shoulder Armor (Legacy)"
"fig-009091","Kai with Hair (Legacy)"
"fig-009093","The Penguin, Orange and Yellow Striped Vest"
"fig-009094","Batman, Black Suit, Black Cape and Cowl, Wide Cape"
"fig-009096","Yoda, Olive Green Head, Santa Jacket"
"fig-009097","Rebel Pilot X-wing, Christmas Outfit"
"fig-009098","Princess Leia, Slave Outfit, Black Eyes"
"fig-009099","Boba Fett, Helmet and Jetpack with Dark Red Highlights, Light Bluish Gray Armor"
"fig-009101","Stormtrooper, Plain Light Nougat Head, Black Lines on Nose Vent"
"fig-009102","Leo - White/Coral Top, Yellow Pants"
"fig-009103","Senate Commando, Plain Legs, Plain Head"
"fig-009104","Skeleton, Standard Face, Red Bandana Hat, Bent Mechanical Arms"
"fig-009105","Skeleton, Standard Face, Bicorne Hat with Red Plume"
"fig-009106","Bride, White and Blue Dress"
"fig-009107","Gold Prospector, Woman"
"fig-009108","Gold Prospector, Man, Reddish Brown Eyebrows"
"fig-009109","Jester, Woman, Red and White"
"fig-009110","King, Lion on Chest, Gold Crown, Reddish Brown Eyebrows"
"fig-009111","Knight, Armor with Straps, Light Bluish Gray Helmet, Reddish Brown Eyebrows"
"fig-009112","Boy, Coat with Red Sash, Helmet with Red Feather, Reddish Brown Eyebrows"
"fig-009113","Snake Charmer, Dark Tan Turban, Reddish Brown Eyebrows"
"fig-009114","Groom, Black Suit, Black Top Hat, Reddish Brown Eyebrows"
"fig-009115","Woman, Cardigan Tied with Bow and Necklace, Red Skirt, Bright Light Yellow Hair"
"fig-009116","Witch, Plain Black, Red Cape"
"fig-009117","Knight, Dark Blue Jacket with Sash, Light Bluish Gray Helmet, Reddish Brown Eyebrows"
"fig-009119","Obi-Wan Kenobi, Tan Legs, Headset, Reddish Brown Hood and Cape"
"fig-009120","Woman, White Shirt with Pockets, Blue Legs, Blue Helmet with Visor"
"fig-009121","Woman, White Shirt with Pockets, Red Legs, Red Helmet with Stars and Visor"
"fig-009122","Firewoman, Black Fire Jacket with Red Belt and Badge, Brown Hair"
"fig-009123","Pilot, Black Jacket with Tie and Airplane Badge, Light Bluish Gray Legs, White Hat"
"fig-009124","Pilot, Woman, Black Jacket with Tie and Airplane Badge, White Legs, Black Hair"
"fig-009125","Man, Dark Blue Suit with no Tie, White Cap, Glasses"
"fig-009126","Doctor, White Shirt with Star of Life Logo, Reddish Brown Hair"
"fig-009127","Doctor, Woman, White Shirt with Star of Life Logo, Black Hair"
"fig-009128","Fireman, Black Fire Jacket with Red Belt and Badge, White Helmet"
"fig-009129","Fireman, Black Fire Jacket with Red Belt and Badge, Light Bluish Gray Legs, White Helmet"
"fig-009130","Infomaniac, Black Legs"
"fig-009131","Criminal, Medium Blue Overalls over Prison Shirt"
"fig-009132","Pepper Roni with Dark Bluish Gray Hat"
"fig-009133","Sky Lane with Backpack"
"fig-009134","Man, White Top with Large Octan Logo, Blue Legs, Reddish Brown Hair"
"fig-009135","Woman, White Tank Top with Flowers, Yellow Legs, Brown Hair, Airtanks, Sunglasses"
"fig-009136","Policeman, Dark Blue Shirt with Radio and Badge, Black Legs, Black Cap, Smile"
"fig-009137","Security Guard Dark Bluish Gray Shirt with Badge, Black Cap, Orange Sunglasses"
"fig-009138","Man, Dark Blue Plaid Shirt, White Legs, Black Hair, Gold Tooth"
"fig-009139","Train Worker, Orange Safety Vest with Train Logo, Blue Legs, Blue Hat, Moustache"
"fig-009140","Woman, White Top with Large Octan Logo, Blue Legs, Black Hair"
"fig-009141","Woman, Medium Blue Jacket, White Legs, Black Ponytail Hair"
"fig-009142","Pilot - Black Torso, Black Legs Black Hat"
"fig-009143","Worker - Blue Torso, Orange Legs, Red Helmet with Ear Protectors"
"fig-009144","Worker - Orange Torso, Orange Legs, Red Helmet with Reddish Brown Hair"
"fig-009145","Pilot - Blue Torso, Blue Legs, Reddish Brown Hair"
"fig-009146","Medium Blue Torso, Dark Red Legs, Dark Orange Hair"
"fig-009147","Worker, Blue Torso, Blue Legs, Red Helmet, Beard"
"fig-009148","Worker, Orange Overalls over Blue Sweater, Red Hard Hat"
"fig-009149","Worker - Orange Torso, Blue Legs, Blue Cap, Reddish Brown Beard"
"fig-009150","Worker - Blue Torso, Orange Overall, Blue Cap"
"fig-009151","King - Blue Torso, Blue Legs, Gold Crown"
"fig-009152","Soldier - Castle, Dark Bluish Grey Torso, Blue Legs, Light Bluish Grey Helmet"
"fig-009153","Knight - Black Torso, Black Legs, Pearl Dark Gray Helmet"
"fig-009154","Worker - Blue Torso, Blue Legs, Red Helmet, Beard"
"fig-009155","Worker - Blue Torso, Blue Legs, Red Helmet, Glasses"
"fig-009156","Bright Pink Torso, Dark Purple Legs, Dark Orange Hair"
"fig-009157","White Torso, Green Legs, Reddish Brown Hair"
"fig-009158","Policeman, Black Suit with Badge, White Hat, Mustache and Glasses"
"fig-009159","Black Torso, Light Bluish Grey Legs, Reddish Brown Hair"
"fig-009160","Red Torso, Tan Legs, Red Cap"
"fig-009161","White Torso, Blue Legs, Tan Hair"
"fig-009162","Kid, Orange Torso, Green Legs, Dark Tan Cap"
"fig-009163","Blue Torso, Dark Blue Legs, Dark BLuish Grey Hair - Without Back Print"
"fig-009164","Red Torso, Olive Green Legs, Dark Brown Hair"
"fig-009165","Kid, Bright Light Blue Torso, Medium Lavender Legs, Medium Nougat Hair"
"fig-009166","Kid, Bright Pink Torso, Blue Legs, Medium Nougat Hair"
"fig-009167","Dark Azure Torso, Dark Brown Legs, White Hair"
"fig-009168","Lavender Torso, Dark Tan Legs, Black Hair"
"fig-009169","Train Worker - Dark Blue Torso, Sand Blue Legs, Dark Orange Hair"
"fig-009170","Blue Torso, Light Bluish Gray Legs, Tan Hair"
"fig-009171","Train Worker - Light Bluish Grey Torso, Dark Blue Legs, Red Scarf, Black Kepi"
"fig-009172","Kid - White Torso, Classic Space Figure, Dark Tan Legs, Blue Cap"
"fig-009173","Black Torso Wet Suit, Black Legs, Bright Light Yellow Hair"
"fig-009174","Blue Torso, Red Legs, Dark Bluish Grey Kepi"
"fig-009175","Medium Blue Torso, Tan Legs, Dark Brown Hair"
"fig-009176","Orange Torso, Sand Green Legs, Dark Orange Hair"
"fig-009177","Dark Blue Torso, Dark Brown Legs, Dark Brown Hair"
"fig-009178","Kid - Red Torso, Light BLuish Grey Legs, Reddish Brown Hair"
"fig-009179","Kid - White Torso, Dark Azure Legs, Dark Brown Hair"
"fig-009180","White Torso, Blue Legs, Tan Hair, Stubble Beard"
"fig-009181","Dark Purple Torso, Dark Tan Legs, Dark Bluish Grey Legs"
"fig-009182","Orange Torso, Reddish Brown Legs, Dark BLuish Grey Cap"
"fig-009183","Kid - White Torso, Medium Lavender Legs, Dark Red Hair"
"fig-009184","Kid - Blue Torso, Light Bluish Grey Legs, Black Hair"
"fig-009185","Kid - Green Torso, Red Legs, Medium Nougat Hair"
"fig-009186","Medium Blue Torso, Tan Legs, Dark Orange Hair, Sunglasses"
"fig-009187","Dark Bluish Gray Torso, Medium Blue Legs, Tan Hair"
"fig-009188","Orange Torso, Dark Brown Legs, Red Cap"
"fig-009189","Kid - Orange Torso, Blue Legs, Dark Orange Hair"
"fig-009190","Kid - Lime Torso, Medium Lavender Legs, Reddish Brown Hair"
"fig-009191","Light Bluish Grey Torso, Dark Bluish Grey Legs, Light Bluish Grey Hair"
"fig-009192","White Torso, Medium Azure Legs, Dark Brown Hair"
"fig-009193","Bright Pink Torso, White Legs, Bright Light Yellow Hair"
"fig-009194","Dark Blue Torso, Dark Green Legs, Dark Red Hat"
"fig-009195","Kid - Medium Blue Torso, Dark Blue Legs, red Cap"
"fig-009196","Kid - Medium Blue Torso, Dark Blue Legs, Reddish Brown Hair"
"fig-009197","Dark Blue Torso, Black Legs, Reddish Brown Hair"
"fig-009198","Blue Torso, Sand Blue Legs, Black Hair"
"fig-009199","Red Torso, Blue Legs, Blue Cap"
"fig-009200","Kid - Red Torso, Dark Blue Legs, Black Cap"
"fig-009201","Kid - White Torso, Light Blush Grey Legs, Black Hair"
"fig-009202","White Torso, Red Legs, Black Hair"
"fig-009203","NASA Apollo 11 Astronaut - Crooked Smile"
"fig-009204","NASA Apollo 11 Astronaut - Straight Smile"
"fig-009205","Train Worker - Dark Blue Torso, Dark BLue Legs, Dark Red Hat"
"fig-009206","Dark Purple Torso, White Legs, Black Hair"
"fig-009207","Green Torso, Dark Brown Legs, Dark Brown Hair"
"fig-009208","Medium Blue torso, Black Legs, Tan Hair"
"fig-009209","Train Worker - Orange Torso, Light Bluish Grey Legs, Dark Brown Hair"
"fig-009210","Light Bluish Grey Torso, Dark Bluish Grey Legs, Light Bluish Grey Hair"
"fig-009211","Train Worker, Maersk - Dark Bluish Grey Beard"
"fig-009212","Train Worker, Maersk - Sunglasses"
"fig-009213","Train Worker, Maersk - Glasses"
"fig-009214","Bright Light Blue Torso, Dark Purple Legs, Dark Orange Hair"
"fig-009215","Green Torso, Dark Tan Legs, Tan Hair"
"fig-009216","Tan Torso Sweater, Sand Blue Legs, Light Bluish Grey Hair"
"fig-009217","Bright Pink, Medium Azure, White Hair"
"fig-009218","Kid - White Torso, Medium Blue Legs, Black Hair"
"fig-009219","White Torso, Dark Blue Legs, Black Hair"
"fig-009220","Yellow Torso, Blue Legs, Reddish Brown Hair"
"fig-009221","Yellow Torso, Blue Legs, Dark Brown Hair"
"fig-009222","Dark Azure Torso, White Legs, Medium Nougat Hair"
"fig-009223","White Torso, Medium Azure Legs, Tan Hair"
"fig-009224","Light Bluish Grey Torso, Dark Orange Legs, Dark Brown Hair"
"fig-009225","Astronaut - White Torso and Legs, Gold Visor, Female"
"fig-009226","Astronaut - White Torso and Legs, Gold Visor, Male"
"fig-009227","Crew Member - Blue Torso, Blue Legs, Blue Cap"
"fig-009228","Astronaut - White Torso and Legs, Gold Visor, Female, Smile"
"fig-009229","Astronaut - White Torso and Legs, Gold Visor, Male, Smile"
"fig-009230","White Torso, Medium Azure Legs, Dark Brown Hair"
"fig-009231","Vestas Employee - Glasses"
"fig-009232","Vestas Employee - Moustache"
"fig-009233","Kid - Red Torso, Blue Legs, Medium Nougat Hair"
"fig-009234","Kid - Green Torso, Dark Tan Legs, Dark Brown Hair"
"fig-009235","Black Torso, Dark Bluish Gray Legs, Reddish Brown Hair"
"fig-009236","Medium Blue Torso, Blue Overall, Blue Hat"
"fig-009237","Light Bluish Gray Torso, Dark Red Legs, Dark Red Hat"
"fig-009238","George Best"
"fig-009239","Bobby Charlton"
"fig-009240","Denis Law"
"fig-009241","Medium Lavender Torso, Medium Blue Legs, Tan Hair"
"fig-009242","Dark Azure Torso, Black Legs, Reddish Brown Hair"
"fig-009243","Black Torso, Dark Bluish Grey Legs, Dark Brown Hair"
"fig-009244","Ghost - Skirt, Hood"
"fig-009245","Black Torso, Black Legs, Black Top Hat"
"fig-009246","Dark Turquoise Torso, Dark Blue Legs, Medium Nougat Hair"
"fig-009247","Tan Torso Sweater, Dark Blue Legs, Dark Brown Hair"
"fig-009248","Skeleton, Standard Face, Top Hat, Bent Arms"
"fig-009249","Shadow Knight Vladek"
"fig-009250","King Mathias, Gold Armor, Light Bluish Gray Cape, Gold Crown"
"fig-009251","King, Dark Red Armor, Black Cape, Gold Crown"
"fig-009252","Queen, Skull Head, Black Dress, Black Cape, Black Hair"
"fig-009253","Queen, Medium Blue Armor, Light Bluish Gray Dress, Light Bluish Gray Cape, Light Bluish Gray Hair"
"fig-009254","Shadow Knight"
"fig-009255","Santis"
"fig-009256","Rascus"
"fig-009257","King Mathias, Gold Armor, Gold Crown"
"fig-009258","Shadow Knight"
"fig-009259","Kid - Black Torso, Wetsuit, Black Legs, Medium Nougat Hair"
"fig-009260","White Torso, Black Legs, Red Cap"
