"fig_id","description"
"fig-000197","Artist (CMF)"
"fig-000198","Policeman, Black Jacket with Zipper, Radio, and Badge, White Helmet and Visor, Sunglasses"
"fig-000199","Emma - Medium Blue Crop Top, Dark Pink Shorts"
"fig-000200","Woman, Tied Pink Tank Top with Flowers, White Legs, Black Hair"
"fig-000201","Lifeguard (CMF)"
"fig-000202","Olivia - White Top, Sand Blue Skirt, Headphones"
"fig-000203","Woman, White Shirt with Pockets, White Legs, Red Hair, Yellow Life Vest"
"fig-000204","Werewolf"
"fig-000205","Man, White Jacket with Zipper, Red Legs, Red Helmet with Visor"
"fig-000206","LEGOLAND Blue Torso, Blue Legs, Blue Cowboy Hat"
"fig-000207","Man, White Top with Large Red Stripe and 2 Blue Stripes, Blue Legs, Brown Hair"
"fig-000208","Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)"
"fig-000209","Man, Plain Red, White Cap"
"fig-000210","Razcal with Shoulder Armor"
"fig-000211","Waiter, Man, Black Suit and Bow Tie, Chef Hat"
"fig-000212","White Torso, Blue Overall, Red Hard Hat"
"fig-000213","Lord Garmadon (The Golden Weapons)"
"fig-000214","Grumlo with Flat Silver Shoulder Armor"
"fig-000215","Chef, Red Neckerchief, Blue Legs, Red Cap"
"fig-000216","Knight (Royal Knights) - Blue Legs, Dark Gray Neck-Protector"
"fig-000217","Archer (Scale Mail on Red) - Black Arms, Light Gray Legs"
"fig-000218","Man with Blue Torso and Black Pants"
"fig-000219","Emma - Lavender Top, Dark Blue Skirt"
"fig-000220","Racer, White Shirt with Two Stripes and 'S', White Legs, Red Helmet"
"fig-000221","Man, Blue Overalls, Red Cap (3626a Head)"
"fig-000222","Tina - White/Silver Top, Dark Purple Skirt"
"fig-000223","Martian Manhunter (J'onn J'onzz)"
"fig-000224","Chef, Red Neckerchief, White Legs, Moustache"
"fig-000225","Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)"
"fig-000226","Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Breathing Apparatus, Airtanks, Silver Sunglasses"
"fig-000227","Superman"
"fig-000228","Man, Red Jacket with Classic Space Logo, Dark Orange Hair"
"fig-000229","Res-Q Man, Black Cap, Moustache"
"fig-000230","White Torso, Blue Legs, Red Cap - Anaheim"
"fig-000231","Man, White Shirt with Shell Logo, Red Cap"
"fig-000232","Eris in Silver Outfit with Pearl Gold Shoulder Armor"
"fig-000233","Knight (Dragon Knights) - Light Gray Legs, Black Hips"
"fig-000234","Man, Red Top with Dark Blue Arms, Black Legs, Red Cap, Sunglasses"
"fig-000235","Zev Senesca with Plain Helmet"
"fig-000236","LEGOLAND Police - Black, White Hat, White Belt"
"fig-000237","LEGOLAND Blue, White Hat"
"fig-000238","Boba Fett, Helmet and Jetpack, Light Gray Armor, Plain Legs"
"fig-000239","LEGOLAND Blue Torso, Black Legs, Red Hat"
"fig-000240","LEGOLAND Red Torso, Blue Legs, Black Hat"
